DATE|IBM|ORACLE|INTEL|APPLE|MICROSOFT
41397|25.736|40.055|69.3043333333333|24.935|35.348
41400|25.757|40.103|55.761|25.013|35.355
41401|26.25|40.105|55.772|25.02|35.345
41402|26.776|40.122|50.39|25.02|35.354
41403|26.778|40.135|50.393|25.059|35.359
41404|27.257|40.131|50.389|25.045|36.753
41407|28.772|40.157|47.145|25.093|35.343
41408|30.721|36.932|47.17|25.142|35.349
41409|30.73|36.934|47.18|25.146|35.36
41410|30.25|35.945|47.193|25.182|35.347
41411|30.258|35.948|47.204|25.195|36.801
41414|29.313|35.949|47.23|25.239|35.344
41415|29.353|35.962|47.249|25.279|35.344
41416|29.356|35.958|45.765|25.29|35.335
41417|29.079|36.051|46.077|25.785|35.345
41418|29.576|36.059|46.083|25.804|36.983
41421|29.587|36.064|46.087|25.816|36.989
41422|29.589|36.065|46.087|25.814|35.347
41423|29.576|36.052|46.077|25.779|35.354
41424|30.072|35.558|46.078|25.817|35.323
41425|30.079|35.565|46.084|25.845|35.337
41428|31.073|36.062|46.085|25.841|35.32
41429|32.559|36.071|46.093|25.849|35.332
41430|33.076|36.077|46.098|25.844|35.35
41431|35.575|36.062|46.085|25.83|35.33
41432|34.056|36.075|45.6|25.843|35.341
41435|34.086|36.543|45.602|25.847|35.35
41436|36.05|37.067|45.597|25.864|35.324
41437|36.56|37.05|45.59|25.84|35.32
41438|36.58|37.08|45.6|25.88|37.01
41439|35.57|37.04|45.58|25.85|35.28
41442|36.05|37.04|45.58|25.8|35.34
41443|36.05|37.04|45.57|25.8|35.33
41444|36.06|37.05|45.58|25.81|35.34
41445|40.57|37.59|49.08|28.21|38.51
41446|40.58|37.6|49.09|28.28|38.52
41449|42.57|38.59|49.58|28.22|39.52
41450|43.14|41.14|51.14|28.41|39.6
41451|41.14|41.08|48.65|28.3|39.54
41452|40.6|41.06|48.6|28.26|39.51
41453|40.6|41.06|48.61|28.26|39.51
41456|40.1|40.56|48.6|28.24|39.51
41457|39.11|40.57|48.61|28.27|39.51
41458|39.12|40.57|48.62|28.27|39.52
41459|39.12|40.57|48.62|28.28|39.52
41460|39.12|40.58|48.62|28.3|39.53
41463|38.66|40.59|46.65|28.31|39.54
41464|38.62|40.57|46.61|28.3|39.52
41465|38.61|40.56|46.6|28.27|39.51
41466|37.68|40.63|46.66|28.24|39.58
41467|37.61|40.55|46.59|28.245|39.5
41470|37.61|40.56|46.6|28.25|39.51
41471|37.12|40.57|46.6|28.26|39.52
41472|37.61|40.56|46.6|28.27|39.51
41473|37.59|40.55|46.59|28.25|39.5
41474|37.63|40.58|48.61|28.24|39.53
41477|37.08|40.56|48.59|28.27|39.51
41478|37.08|40.56|48.59|28.24|39.52
41479|38.04|40.55|48.58|28.235|39.51
41480|38.04|40.55|48.58|28.23|39.5
41481|39.58|40.53|50.05|28.24|39.48
41484|38.63|40.57|50.08|28.26|39.52
41485|39.11|40.56|50.08|28.26|39.51
41486|39.12|40.55|50.07|28.26|39.51
41487|39.11|40.55|50.07|28.23|39.5
41488|38.67|40.55|49.13|28.24|39.5
41491|38.61|40.55|49.07|28.23|38.99
41492|38.63|40.56|49.09|28.27|38.52
41493|39.13|40.56|49.09|28.26|39.02
41494|39.12|40.55|49.08|28.24|39.01
41495|39.12|40.55|49.08|28.24|39.01
41498|39.37|40.55|49.08|28.24|39.01
41499|39.36|40.54|49.07|28.22|39
41500|39.37|40.56|49.09|28.26|39.02
41501|39.57|40.55|49.08|28.26|39.01
41502|40.6|40.54|49.07|28.24|39
41505|41.09|40.54|49.06|28.22|38.99
41506|41.12|40.57|49.1|28.21|39.03
41507|41.11|40.56|49.08|28.3|39.02
41508|41.59|40.54|49.07|28.26|39
41509|41.6|40.56|49.08|28.24|39.02
41512|41.59|40.55|49.08|28.24|39.01
41513|42.08|40.54|49.07|28.23|39
41514|41.59|40.55|49.07|28.23|39.01
41515|41.59|42.05|49.07|28.24|40
41516|41.59|42.06|49.07|28.23|40
41519|41.59|42.06|49.07|28.23|40
41520|41.61|42.07|49.09|28.26|40.02
41521|41.6|42.06|49.06|28.21|40.01
41522|41.58|42.04|49.06|28.2|39.99
41523|41.58|42.05|49.07|28.2|39.99
41526|41.11|42.04|49.06|28.2|39.99
41527|40.59|42.05|49.06|28.2|39.99
41528|40.59|42.05|49.06|28.2|39.99
41529|40.59|42.05|48.58|28.22|39
41530|41.08|42.03|48.55|28.16|38.97
41533|41.16|42.12|48.14|28.16|39.08
41534|41.09|42.05|46.6|28.4|39
41535|40.18|42.05|46.58|28.23|39
41536|40.105|42.056|46.593|28.215|39.007
41537|41.11|42.58|47.61|30.51|39.03
41540|41.61|42.58|47.62|30.51|39.03
41541|41.61|42.57|47.61|30.5|39.02
41542|42.61|42.07|47.61|30.5|39.02
41543|42.61|42.07|47.6|30.48|39.02
41544|43.12|42.07|47.6|30.47|39.01
41547|43.62|42.09|47.63|30.47|39.03
41548|43.6|42.07|47.6|30.52|39.01
41549|42.18|42.07|47.61|30.47|39.02
41550|40.64|42.07|47.61|30.49|39.02
41551|40.13|41.63|47.61|30.49|39.02
41554|40.15|41.65|47.63|30.54|39.04
41555|39.15|41.64|47.62|30.53|39.03
41556|39.66|41.65|47.63|30.56|39.05
41557|35.62|41.64|47.62|30.56|38.53
41558|35.63|41.63|47.12|30.52|38.53
41561|35.63|41.63|47.12|30.52|38.53
41562|35.14|41.64|46.63|30.52|38.53
41563|34.61|41.13|44.15|30.52|38.52
41564|35.14|41.14|43.68|30.49|38.53
41565|35.11|40.63|43.66|30.48|38.02
41568|34.1|40.63|43.66|30.48|38.02
41569|33.64|40.62|43.65|30.49|38.01
41570|35.6|40.63|43.66|30.48|38.02
41571|36.07|40.62|43.65|30.47|38.01
41572|36.08|40.62|43.65|30.47|38.01
41575|36.08|40.61|43.64|30.45|38
41576|37.58|40.62|43.65|30.47|38.01
41577|37.08|40.63|43.65|30.49|38.02
41578|37.07|40.61|43.64|30.45|37.5
41579|37.56|40.62|43.64|30.45|37.51
41582|38.08|40.62|43.64|30.46|37.51
41583|38.07|40.62|43.64|30.46|37.51
41584|36.61|40.16|43.64|30.47|37.51
41585|36.58|40.13|43.64|30.47|37.51
41586|36.57|40.12|43.63|30.47|37.5
41589|36.57|40.12|43.63|30.45|37.5
41590|36.1|40.13|43.65|30.47|37.52
41591|36.1|40.13|43.65|30.47|37.52
41592|36.12|40.14|43.66|30.47|37.53
41593|35.59|40.11|43.63|30.51|37.5
41596|35.62|39.12|43.63|30.44|37.5
41597|35.6|39.1|43.62|30.44|37.49
41598|35.14|39.12|43.64|30.43|37.51
41599|35.12|39.12|43.63|30.46|37.5
41600|33.61|39.11|44.12|30.43|37.49
41603|32.15|39.11|44.12|30.43|37.5
41604|31.65|39.11|43.13|30.44|37.5
41605|31.63|39.11|43.13|30.43|37.5
41606|31.63|39.11|43.13|30.43|37.5
41607|31.62|39.1|43.12|30.42|37.49
41610|32.08|39.1|43.12|30.42|37.49
41611|32.6|39.1|43.12|30.42|37.49
41612|32.6|39.1|42.61|30.43|37.49
41613|32.59|39.09|42.62|30.41|37.48
41614|32.1|39.1|40.61|30.43|37.49
41617|31.09|39.1|40.61|30.43|37.49
41618|30.61|39.1|40.62|30.43|37.49
41619|30.59|39.1|40.61|30.44|37.49
41620|30.58|39.09|40.61|30.4|37.48
41621|30.59|37.58|39.11|30.42|37.49
41624|29.58|37.58|39.11|30.42|37.255
41625|29.59|37.59|39.11|30.43|37.02
41626|29.07|37.57|39.1|30.39|37
41627|29.06|37.56|39.09|30.35|37
41628|29.1|37.6|39.13|32.59|37.04
41631|28.62|36.11|39.15|32.59|37.05
41632|28.62|36.13|39.15|32.59|37.05
41633|28.62|36.13|39.15|32.59|37.05
41634|28.61|36.12|39.14|32.59|37.04
41635|28.62|36.13|39.15|32.61|37.06
41638|28.12|36.13|39.15|32.61|34.08
41639|28.12|36.13|39.14|32.6|34.08
41640|28.12|36.13|39.14|32.6|34.08
41641|28.12|36.13|39.15|32.6|33.58
41642|28.11|36.12|39.13|32.6|31.72
41645|27.62|36.13|39.15|32.59|31.72
41646|27.61|36.12|39.14|32.59|31.72
41647|27.6|36.12|39.14|32.58|33.31
41648|28.1|36.12|39.13|32.57|31.17
41649|29.08|36.11|39.13|32.565|29.82
41652|30.6|36.12|39.14|32.56|29.82
41653|31.06|36.1|39.12|32.55|29.82
41654|31.08|36.11|39.13|32.55|32.63
41655|31.58|36.11|38.16|32.57|29.82
41656|31.59|36.12|38.16|32.58|29.82
41659|31.59|36.12|38.16|32.58|32.63
41660|31.57|36.1|38.15|32.57|29.82
41661|33.6|36.12|38.14|32.56|32.63
41662|34.16|36.12|39.13|32.59|32.62
41663|36.61|36.11|39.13|32.59|32.63
41666|36.59|36.11|39.13|32.59|32.62
41667|36.59|36.11|39.12|32.59|32.62
41668|37.59|36.12|39.13|32.59|32.62
41669|37.58|36.11|39.11|32.55|32.62
41670|37.6|36.12|39.14|32.55|32.62
41673|37.58|36.1|39.11|32.61|32.61
41674|37.57|36.1|39.11|32.56|32.62
41675|37.6|36.12|39.13|32.56|32.62
41676|37.6|36.12|39.13|32.6|32.62
41677|36.09|36.11|39.12|32.58|32.62
41680|35.62|36.12|38.64|32.59|32.62
41681|35.07|36.11|38.63|32.58|32.62
41682|35.58|36.11|38.63|32.58|32.63
41683|35.61|36.12|37.67|32.6|32.62
41684|35.59|36.11|37.64|32.59|32.62
41687|35.59|36.11|37.64|32.59|32.62
41688|35.6|36.1|37.63|32.56|32.62
41689|35.61|36.11|37.64|32.56|32.62
41690|35.6|36.1|37.63|32.57|32.62
41691|35.1|36.1|37.63|32.57|32.62
41694|35.11|36.11|37.64|32.58|33.12
41695|35.12|36.1|36.65|32.56|33.11
41696|34.61|36.09|36.62|32.56|33.12
41697|34.59|36.08|36.61|32.54|33.11
41698|34.6|36.09|36.62|32.55|33.11
41701|34.62|36.11|36.64|32.59|29.82
41702|34.59|36.08|36.09|32.6|33.11
41703|34.11|36.1|32.82|32.48|33.12
41704|34.08|36.07|32.79|32.52|33.11
41705|34.1|36.09|32.81|32.55|33.11
41708|34.1|36.09|32.82|32.54|33.11
41709|34.09|36.08|32.8|32.54|33.11
41710|34.09|36.08|32.8|32.54|33.11
41711|34.07|36.06|32.77|32.52|33.1
41712|35.57|36.07|32.78|32.52|33.1
41715|35.58|36.07|36.11|32.53|33.11
41716|34.61|36.08|35.14|32.53|33.11
41717|34.59|36.07|30.82|32.52|33.1
41718|35.62|36.61|30.84|33.58|35.2
41719|35.61|36.6|30.86|34.64|36.32
41722|35.58|36.57|30.8|34.63|35.22
41723|35.61|35.6|30.85|32.5328571428571|35.22
41724|36.13|35.61|30.85|32.5328571428571|35.72
41725|36.58|35.59|33.13|32.5228571428571|33.91
41726|36.59|35.6|33.14|33.5828571428571|35.66
41729|36.58|35.59|33.13|34.6428571428571|35.66
41730|36.58|35.59|32.14|34.6328571428571|33.98
41731|35.57|36.07|35.12|34.61|35.83
41732|36.1|35.59|32.15|34.6166666666667|35.83
41733|36.09|35.59|32.14|34.62|35.86
41736|36.1|35.61|32.16|34.6233333333333|34.29
41737|37.09|35.59|32.14|34.6266666666667|34.31
41738|37.08|35.59|32.14|34.63|35.86
41739|37.08|35.59|32.14|34.66|35.85
41740|38.07|35.59|32.15|34.635|35.87
41743|38.08|35.59|32.15|34.61|35.86
41744|38.07|35.59|32.14|34.56|35.37
41745|38.07|35.58|32.14|34.58|34.31
41746|37.59|35.6|32.15|34.6|34.31
41747|37.58|35.59|32.14|34.6|35.37
41750|37.59|35.6|32.15|34.6|34.31
41751|37.57|35.58|32.13|34.59|35.36
41752|39.6|35.58|32.14|34.59|35.36
41753|40.55|35.57|32.12|34.59|35.36
41754|41.06|35.58|32.13|34.58|35.36
41757|41.05|35.57|32.12|34.58|35.37
41758|41.57|35.59|32.14|34.6|35.37
41759|41.55|35.57|32.12|34.57|35.36
41760|41.55|35.57|32.12|34.58|35.36
41761|41.55|35.57|30.61|34.58|35.37
41764|41.55|35.56|30.6|34.57|35.36
41765|42.05|35.57|30.61|34.57|35.36
41766|42.05|35.57|30.61|34.57|35.36
41767|42.43|35.41|30.44|34.57|36.42
41768|42.55|35.57|30.61|34.57|35.36
41771|42.43|35.41|30.44|34.55|36.42
41772|42.43|35.41|30.44|34.56|36.42
41773|42.42|35.4|30.43|34.54|36.4
41774|42.42|35.41|30.43|34.55|36.41
41775|42.43|35.41|30.44|34.55|36.415
41778|41.44|35.42|30.45|34.57|36.42
41779|41.44|35.41|30.44|34.56|36.42
41780|41.44|35.41|30.44|34.56|36.42
41781|41.44|35.42|30.44|34.57|36.42
41782|41.43|35.41|30.43|34.56|36.41
41785|41.43|35.41|30.43|34.56|36.41
41786|41.43|35.41|30.43|34.56|36.4084615384615
41787|41.43|35.4|30.43|34.55|36.4069230769231
41788|42.43|35.4|30.43|34.55|36.4053846153846
41789|42.44|35.41|30.44|34.56|36.4038461538461
41792|42.44|35.41|30.44|34.56|36.4023076923077
41793|42.43|35.4|30.42|34.55|36.4007692307692
41794|42.44|35.41|30.44|34.56|36.3992307692308
41795|41.44|35.4|30.43|34.56|36.3976923076923
41796|41.44|35.4|30.43|34.57|36.3961538461538
41799|40.43|35.4|30.42|34.54|36.3946153846154
41800|40.42|35.4|30.43|34.53|36.3930769230769
41801|40.42|35.4|30.43|34.53|36.3915384615385
41802|40.41|35.39|30.41|34.53|36.39
41803|38.42|35.38|30.41|34.53|36.39
41806|38.43|35.39|30.42|34.53|36.4
41807|38.54|35.54|30.56|34.53|35.35
41808|38.54|35.54|30.56|34.505|31.06
41809|38|34.49|29.52|34.48|36.35
41810|38.06|34.55|29.57|35.51|34.58
41813|38.06|34.54|29.57|36.54|32.81
41814|38.58|34.55|29.59|36.5375|32.81
41815|39.06|34.55|29.57|36.535|36.42
41816|39.59|34.55|29.57|36.5325|36.42
41817|40.06|34.56|29.58|36.53|36.42
41820|40.06|34.54|29.57|31.55|36.42
41821|39.54|34.54|29.56|26.57|36.43
41822|39.56|34.55|29.57|26.54|36.43
41823|39.07|34.55|29.57|26.54|36.42
41824|39.06|34.54|29.56|26.54|36.42
41827|39.06|34.54|29.56|26.54|36.42
41828|39.58|34.54|29.56|26.54|36.42
41829|39.55|34.53|29.55|26.54|36.41
41830|41.07|34.54|29.56|26.54|36.41
41831|40.6|34.56|29.59|26.54|36.1
41834|40.56|34.55|29.57|26.54|36.41
41835|40.57|34.56|29.58|26.54|36.42
41836|40.57|34.55|29.58|26.54|36.42
41837|42.56|34.55|29.57|26.54|36.41
41838|43.01|34.53|29.55|26.54|36.39
41841|43.04|34.55|29.58|26.54|36.05
41842|42.55|34.54|29.56|26.54|36.04
41843|42.55|34.55|29.57|26.54|36.04
41844|42.53|34.53|29.55|26.54|36.4
41845|42.56|34.56|29.58|26.54|36.42
41848|43.04|34.54|29.56|26.54|36.41
41849|43.05|34.54|29.56|22.65|36.07
41850|42.43|34.55|29.57|24.655|36.07
41851|43.54|34.54|29.57|26.66|36.07
41852|44.04|34.55|29.57|25.78|36.07
41855|44.04|34.55|29.57|25.78|36.07
41856|43.54|34.55|29.58|25.77|36.07
41857|44.05|34.55|29.57|25.77|36.07
41858|45.04|34.55|29.58|25.77|36.0733333333333
41859|44.43|34.56|31.42|25.77|36.0766666666667
41862|45.04|34.55|29.57|25.77|36.08
41863|44.55|34.55|29.57|25.77|36.08
41864|43.58|34.55|29.57|25.77|36.08
41865|43.54|34.54|29.56|25.77|36.0766666666667
41866|43.54|34.54|29.56|25.77|36.0733333333333
41869|42.03|34.53|29.06|25.77|36.07
41870|42.05|34.54|29.07|25.77|36.07
41871|42.05|34.54|29.06|25.77|36.07
41872|41.56|34.54|29.06|25.77|36.07
41873|41.56|34.55|29.08|30.56|36.07
41876|41.06|34.54|29.07|30.58|36.07
41877|41.07|34.55|29.08|30.61|36.07
41878|40.55|34.54|29.07|30.62|36.07
41879|40.55|34.54|29.06|30.61|36.06
41880|40.55|34.54|29.07|30.6|36.06
41883|40.56|34.55|29.07|30.6|36.06
41884|40.56|34.54|29.07|27.05|36.04
41885|40.55|34.54|29.06|23.62|36.06
41886|40.54|34.52|29.05|27.12|36.06
41887|40.54|34.53|29.05|23.64|36.07
41890|40.55|34.54|29.06|23.52|36.07
41891|40.55|34.54|29.07|27.02|36.07
41892|40.55|34.53|29.06|27.05|35.9466666666667
41893|40.55|34.54|29.07|27.09|35.8233333333333
41894|40.69|33.69|27.72|27.08|35.7
41897|41.06|34.53|29.06|27.12|36.07
41898|40.54|34.53|29.05|27.11|36.07
41899|40.55|34.54|29.07|27.11|36.07
41900|40.57|34.56|29.08|26.404|36.08
41901|40.54|34.53|29.55|25.698|36.06
41904|41.58|35.56|29.6|24.992|28.81
41905|41.58|35.56|29.6|24.286|28.81
41906|43.093|35.564|29.598|23.58|32.6135
41907|43.581|38.535|29.587|23.565|36.417
41908|44.072|38.53|29.581|28.039|36.413
41911|46.053|38.53|29.582|28.119|36.409
41912|45.567|36.066|30.577|25.615|36.41175
41913|45.087|36.07|30.581|28.237|36.4145
41914|45.06|36.05|30.56|28.11|36.41725
41915|44.59|36.08|30.59|28.07|36.42
41918|43.6|36.06|30.57|28.2|36.12
41919|43.74|35.72|29.75|26.61|25.86
41920|44.09|36.08|30.59|26.56|36.42
41921|43.58|36.06|31.07|26.55|25.85
41922|44.09|36.09|31.1|25.33|23.55
41925|44.08|36.07|31.08|25.33|21.25
41926|43.58|36.05|31.06|26.62|21.25
41927|44.59|36.07|31.08|26.74|21.25
41928|45.13|36.12|31.14|27.03|21.25
41929|44.09|36.09|31.1|27.05|22.76
41932|45.61|37.61|31.09|26.59|24.27
41933|45.61|37.6|31.1|26.57|25.78
41934|47.58|37.61|31.11|26.55|28.07
41935|48.05|37.58|31.08|26.5|28.05
41936|51.05|37.59|31.09|26.57|28.06
41939|53.04|37.58|31.08|26.57|28.04
41940|55.02|37.6|31.59|26.56|28.02
41941|55.53|37.6|31.6|27.78|28.02
41942|56|37.58|31.57|26.56|28.01
41943|55.52|37.59|31.58|26.53|28.02
41946|55.51|37.58|31.58|26.52|27.99
