Valuation Date;CashFlowDate;DiscountFactor
31.12.2023;31.12.2023; 1,00000 
31.12.2023;02.01.2024; 0,99926 
31.12.2023;03.01.2024; 0,99907 
31.12.2023;10.01.2024; 0,99781 
31.12.2023;05.02.2024; 0,99341 
31.12.2023;04.03.2024; 0,98899 
31.12.2023;03.04.2024; 0,98430 
31.12.2023;03.07.2024; 0,97069 
31.12.2023;03.10.2024; 0,95803 
31.12.2023;03.01.2025; 0,94653 
31.12.2023;03.04.2025; 0,93625 
31.12.2023;03.07.2025; 0,92643 
31.12.2023;03.10.2025; 0,91664 
31.12.2023;05.01.2026; 0,90695 
31.12.2023;03.04.2026; 0,89831 
31.12.2023;03.07.2026; 0,88972 
31.12.2023;05.10.2026; 0,88110 
31.12.2023;04.01.2027; 0,87289 
31.12.2023;05.04.2027; 0,86470 
31.12.2023;05.07.2027; 0,85647 
31.12.2023;04.10.2027; 0,84819 
31.12.2023;03.01.2028; 0,83979 
31.12.2023;03.04.2028; 0,83128 
31.12.2023;03.07.2028; 0,82270 
31.12.2023;03.10.2028; 0,81406 
31.12.2023;03.01.2029; 0,80552 
31.12.2023;03.04.2029; 0,79732 
31.12.2023;03.07.2029; 0,78913 
31.12.2023;03.10.2029; 0,78086 
31.12.2023;03.01.2030; 0,77250 
31.12.2023;03.04.2030; 0,76418 
31.12.2023;03.07.2030; 0,75570 
31.12.2023;03.10.2030; 0,74717 
31.12.2023;03.01.2031; 0,73881 
31.12.2023;03.04.2031; 0,73086 
31.12.2023;03.07.2031; 0,72300 
31.12.2023;03.10.2031; 0,71513 
31.12.2023;05.01.2032; 0,70706 
31.12.2023;05.04.2032; 0,69915 
31.12.2023;05.07.2032; 0,69116 
31.12.2023;04.10.2032; 0,68312 
31.12.2023;03.01.2033; 0,67509 
31.12.2023;04.04.2033; 0,66709 
31.12.2023;04.07.2033; 0,65914 
31.12.2023;03.10.2033; 0,65124 
31.12.2023;03.01.2034; 0,64334 
31.12.2023;03.01.2036; 0,58278 
31.12.2023;03.01.2039; 0,49795 
31.12.2023;04.01.2044; 0,39022 
31.12.2023;04.01.2049; 0,28392 
31.12.2023;05.01.2054; 0,22349